"","factory_location","destination","distance_km","transport_mode","fuel_price","shipment_weight","shipment_volume","num_stops","shipment_urgency","weather_conditions","carrier_reliability","order_volume","product_type","packaging_type","special_handling","customs_clearance","supply_chain_disruption","seasonality","temp_control","delivery_lead_time","id"
"172","Dallas","Denver",753,"Road",0.52,19376,40.7,1,"Medium","Clear",78.1,216,"Pharmaceutical","Standard","Yes","No","No","Off-Peak","No",2.4,172
"173","San Antonio","Atlanta",910,"Rail",0.72,10494,42.7,0,"Low","Clear",79.3,555,"Food","Fragile","Yes","No","No","Off-Peak","No",1.4,173
"174","Philadelphia","Cincinnati",2635,"Road",1.26,10498,53.4,1,"Medium","Clear",83.9,640,"Pharmaceutical","Standard","No","Yes","Yes","Peak","No",9.6,174
"175","San Jose","Orlando",1876,"Road",1.2,13806,69.2,1,"High","Clear",79.5,330,"Electronics","Refrigerated","Yes","Yes","No","Off-Peak","No",4.6,175
"176","Dallas","Boston",2579,"Air",1.28,15783,98.4,1,"Low","Clear",92.1,NA,"Furniture","Oversized","No","No","No","Peak","No",4.4,176
"177","San Antonio","Boston",1458,"Road",1.54,13878,52,2,"Low","Clear",77.9,274,"Electronics","Refrigerated","Yes","No","No","Off-Peak","No",4.9,177
"178","Los Angeles","Seattle",2688,"Teleportation",2,17601,49.8,1,"High","Clear",94.4,933,"Automotive","Refrigerated","Yes","No","No","Peak","No",4.1,178
"179","Fort Worth","Nashville",549,"Road",1.92,2908,30,2,"Medium","Clear",86.2,865,"Food","Standard","No","No","No","Off-Peak","No",2.5,179
"180","Chicago","Portland",1882,"Road",1.93,5378,16.8,NA,"High","Clear",98.9,703,"Furniture","Standard","No","No","Yes","Peak","No",7.6,180
"181","San Diego","Sacramento",2182,"Air",1.53,17927,33.9,2,"Low","Clear",96.9,432,"Food","Oversized","No","No","No","Peak","No",3.5,181
"182","Houston","Nashville",611,"Road",1.6,7143,30,1,"Low","Clear",84.2,643,"Clothing","Standard","Yes","Yes","No","Off-Peak","No",3.7,182
"183","Charlotte","Miami",1728,"Rail",1.94,18652,37.2,0,"Low","Rain",74.6,882,"Pharmaceutical","Standard","No","No","No","Peak","No",4.2,183
"184","San Antonio","Boston",2031,"Road",0.81,6610,NA,1,"Low","Clear",77.5,645,"Furniture","Refrigerated","No","No","No","Off-Peak","No",3.8,184
"185","Houston","Kansas City",2762,"Road",1.51,12943,38.1,1,"Medium","Clear",83.8,356,"Clothing","Standard","No","Yes","No","Peak","No",7.3,185
"186","New York","Portland",1010,"Road",0.65,10475,43.2,1,"Low","Snow",87.5,149,"Automotive","Fragile","No","Yes","No","Off-Peak","No",5.5,186
"187","San Diego","Kansas City",1663,"Road",1.25,11295,23.4,0,"Low","Clear",79.4,164,"Furniture","Fragile","No","No","No","Off-Peak","No",3.8,187
"188","Columbus","Kansas City",65,"Rail",1.64,10026,6.5,2,"Medium","Rain",76.5,654,"Clothing","Oversized","No","No","No","Off-Peak","No",1.3,188
"189","Columbus","Indianapolis",1142,"Road",0.52,10663,86,0,"Medium","Rain",97.6,927,"Clothing","Standard","No","No","No","Off-Peak",NA,2.4,189
"190","Houston","Seattle",1931,"Rail",0.74,7724,56.6,0,"Low","Clear",95.1,963,"Furniture","Refrigerated","No","No","No","Peak","Yes",3.1,190
"191","Dallas","Kansas City",1848,"Road",0.67,12072,54.2,0,"Low","Rain",99.2,466,"Clothing","Refrigerated","No","No","No","Off-Peak","No",4.3,191
"192","San Diego","Kansas City",2464,"Road",1.7,5337,62.1,0,"Medium","Clear",74.1,389,"Clothing","Refrigerated","No","Yes","No","Peak","No",6.4,192
"193","Philadelphia","Orlando",398,"Rail",1.06,12969,22.8,1,"Low","Clear",90.8,889,"Furniture","Fragile","No","No","No","Peak","No",1,193
"194","Austin","Nashville",2007,"Road",1.45,13355,52.4,2,"Low","Clear",99.6,880,"Furniture","Refrigerated","No","No","No","Peak","No",5.7,194
"195","Houston","Atlanta",645,"Road",1.64,11133,72.6,2,"Low","Clear",85.8,118,"Furniture","Fragile","Yes","No","No","Off-Peak","No",1.7,195
"196","San Diego","Miami",1781,"Road",0.87,6233,3.8,1,"Low","Clear",94.5,222,"Pharmaceutical","Refrigerated","Yes","Yes","No","Off-Peak","No",5.9,196
"197","Chicago","Cleveland",2100,"Rail",1.06,14893,64.1,1,"Low","Clear",97.4,643,"Clothing","Refrigerated","No","No","No","Off-Peak","No",4,197
"198","Fort Worth","Orlando",1608,"Road",1.01,16956,74.3,0,"Medium","Clear",80.3,36,"Electronics","Fragile","Yes","No","No","Off-Peak","No",3.1,198
"199","Houston","Orlando",1140,"Road",1.56,7434,45.1,1,"Low","Clear",79.7,382,"Electronics","Fragile","No","No","Yes","Off-Peak","No",6.4,199
"200","Houston","Portland",2110,"Road",1.36,8881,79.9,1,"Low","Clear",75.8,228,"Furniture","Refrigerated","Yes","No","No","Off-Peak","No",4.1,200
"201","Jacksonville","Seattle",1447,"Rail",0.72,17425,65.9,0,"Low","Clear",84.3,975,"Furniture","Oversized","No","Yes","No","Peak","Yes",4.4,201
"202","Philadelphia","Sacramento",731,"Road",0.94,8236,61.2,1,"Low","Clear",94.5,39,"Clothing","Refrigerated","No","No","No","Off-Peak","No",2.1,202
"203","New York","Detroit",1390,"Road",1.09,9751,19.1,0,"Low","Rain",95.6,905,"Food","Fragile","No","No","Yes","Off-Peak","No",5.5,203
"204","San Jose","Portland",284,"Rail",1.28,10124,74.5,0,"Low","Storm",97.3,254,"Pharmaceutical","Standard","No","No","No","Off-Peak","No",2.1,204
"205","Austin","Las Vegas",810,"Road",1.38,887,42.7,2,"Low","Clear",86.3,715,"Furniture","Oversized","No","No","No","Off-Peak","No",2.4,205
"206","Houston","Portland",1685,"Road",0.96,7966,11.6,1,"Low","Clear",70.4,228,"Clothing","Fragile","No","No","No","Peak","No",4.3,206
"207","Austin","Kansas City",114,"Road",1.04,9260,16.7,2,"Low","Clear",79.5,313,"Pharmaceutical","Fragile","Yes","No","No","Peak","No",2.2,207
"208","Dallas","Cleveland",673,"Road",1.89,11183,78.8,3,"Low","Rain",99.1,383,"Electronics","Standard","No","No","No","Off-Peak","No",3.3,208
"209","San Antonio","Seattle",1927,"Rail",1.32,13484,12.7,0,"Low","Rain",87.2,839,"Furniture","Standard","Yes","No","No","Peak","Yes",3,209
"210","San Diego","Seattle",2165,"Road",1.38,13677,47.2,4,"Low","Clear",78.9,109,"Pharmaceutical","Refrigerated","No","Yes","No","Off-Peak","No",7.8,210
"211","Columbus","Indianapolis",2342,"Rail",0.88,17824,37.6,2,"Low","Rain",79.8,767,"Clothing","Standard","No","No","No","Off-Peak","No",5.4,211
"212","Phoenix","Indianapolis",266,"Road",1.08,13354,49.8,4,"Medium","Clear",74.1,942,"Electronics","Oversized","No","No","No","Off-Peak","No",2.3,212
"213","Fort Worth","Sacramento",341,"Road",1.47,10528,57.1,1,"Medium","Clear",99.1,83,"Electronics","Fragile","No","No","No","Off-Peak","No",1,213
"214","Los Angeles","Atlanta",2842,"Road",1.05,6289,95.4,2,"Medium","Rain",86.2,391,"Automotive","Refrigerated","No","No","No","Off-Peak","Yes",7.3,214
"215","Austin","Portland",2796,"Air",1.2,621,18.9,1,"Medium","Clear",80.5,884,"Furniture","Refrigerated","Yes","Yes","No","Off-Peak","No",5.4,215
"216","Fort Worth","Cleveland",2768,"Road",0.77,2688,39.3,1,"High","Rain",80.4,273,"Clothing","Refrigerated","Yes","No","No","Off-Peak","No",5.3,216
"217","Columbus","Cincinnati",1967,"Road",1.22,10088,43.6,1,"Low","Clear",94.8,806,"Automotive","Refrigerated","No","No","No","Peak","No",4.2,217
"218","Philadelphia","Indianapolis",511,"Air",1.9,10267,85.1,2,"Low","Clear",97,490,"Food","Standard","No","No","No","Peak","No",1.6,218
"219","Dallas","Orlando",2735,"Rail",0.54,2393,4.3,0,"Low","Snow",85,431,"Pharmaceutical","Standard","No","No","Yes","Off-Peak","No",8.1,219
"220","San Diego","Portland",2770,"Road",1.07,5197,3.2,2,"Low","Clear",92.4,932,"Food","Fragile","No","No","No","Off-Peak","No",6.9,220
"221","Jacksonville","Las Vegas",549,"Road",0.88,3374,33.4,2,"Low","Clear",97.2,990,"Clothing","Standard","No","No","No","Peak","No",2.5,221
"222","San Jose","Denver",266,"Rail",1.37,5660,34.9,2,"Low","Clear",77.4,708,"Clothing","Refrigerated","No","No","No","Peak","No",1.3,222
"223","Houston","Boston",1720,"Road",0.6,3135,88,2,"Medium","Rain",94.7,831,"Food","Fragile","Yes","No","No","Off-Peak","No",3.9,223
"224","Fort Worth","Indianapolis",1128,"Rail",1.48,8635,56.9,2,"Medium","Clear",93,688,"Electronics","Fragile","No","No","No","Peak","Yes",2.5,224
"225","Fort Worth","Cincinnati",1407,"Rail",0.58,4320,13.4,3,"Medium","Clear",77.7,311,"Automotive","Fragile","Yes","No","No","Off-Peak","No",3.2,225
"226","Columbus","Boston",1421,"Road",0.94,1652,7.1,0,"Low","Clear",81.9,77,"Furniture","Oversized","No","No","No","Peak","No",3.2,226
"227","Phoenix","Indianapolis",2348,"Air",0.97,17458,12.5,0,"Medium","Clear",88.3,826,"Clothing","Standard","No","No","No","Off-Peak","No",3,227
"228","San Antonio","Cleveland",2480,"Road",1.16,4362,83.8,1,"Low","Clear",84.5,568,"Clothing","Standard","No","No","No","Peak","No",5.6,228
"229","Fort Worth","Sacramento",883,"Rail",1.15,4136,41.9,0,"Medium","Rain",83.3,662,"Food","Standard","No","No","No",NA,"No",1.6,229
"230","New York","Sacramento",2203,"Road",1.99,6399,96.9,2,"Low","Snow",86.4,95,"Electronics","Oversized","No","No","Yes","Off-Peak","Yes",9.7,230
"231","San Diego","Seattle",1513,"Road",1.42,6673,70.7,1,"Medium","Clear",90.8,436,"Furniture","Oversized","No","No","No",NA,"No",3.1,231
"232","San Diego","Boston",245,"Road",0.97,15408,27.6,2,"Low","Rain",84.1,922,"Electronics","Oversized","No","Yes","No","Off-Peak","No",4.6,232
"233","San Jose","Miami",161,"Road",1.79,11504,89.3,0,"Medium","Clear",84.4,11,"Automotive","Refrigerated","No","Yes","No","Peak","No",1.3,233
"234","Dallas","Sacramento",751,"Road",1.01,3326,65.2,1,"Low","Rain",74.3,862,"Electronics","Fragile","No","No","No","Peak","No",2.1,234
"235","San Diego","Miami",694,"Air",1.51,16286,99.6,0,"Low","Clear",90.4,340,"Electronics","Standard","No","No","No","Off-Peak","No",1,235
"236","Los Angeles","Miami",1296,"Road",1.85,18447,12.4,2,"Low","Clear",98.7,674,"Electronics","Standard","No","No","No","Peak","No",2.9,236
"237","Fort Worth","Denver",1672,"Road",1.77,5124,79.1,1,"Medium","Clear",83.6,515,"Clothing","Refrigerated","No","No","No","Off-Peak","No",3.4,237
"238","Phoenix","Boston",2156,"Road",0.63,15054,97.9,1,"Low","Rain",77.2,720,"Pharmaceutical","Refrigerated","No","No","Yes","Off-Peak","No",8.3,238
"239","Dallas","Kansas City",758,"Rail",0.95,4166,75.2,1,"Low","Clear",94.9,768,"Clothing","Fragile","No","Yes","No","Peak","No",3.4,239
"240","San Antonio","Seattle",2692,"Air",1.3,16602,77.8,1,"Medium","Clear",75.6,193,"Food","Refrigerated","No","No","No","Peak","No",3.7,240
"241","San Antonio","Nashville",1474,"Road",1.07,6110,97.9,1,"Low","Clear",88.7,641,"Electronics","Oversized","No","Yes","No","Off-Peak","No",6.4,241
"242","San Jose","Kansas City",825,"Road",1.77,15356,33.4,1,"Medium","Clear",72.4,238,"Furniture","Refrigerated","No","Yes","No","Peak","No",3.9,242
"243","Fort Worth","Indianapolis",994,"Air",1.79,2501,38.8,1,"High","Rain",72.8,594,"Automotive","Refrigerated","No","No","No","Off-Peak","No",2,243
"244","Jacksonville","Indianapolis",2010,"Road",1.52,16909,18.6,3,"Low","Clear",90.4,943,"Pharmaceutical","Standard","No","No","No","Off-Peak","No",6.4,244
"245","San Jose","Portland",2198,"Road",1.25,16442,42.1,3,"Medium","Clear",84.8,936,"Clothing","Refrigerated","No","Yes","No","Off-Peak","Yes",7.1,245
"246","San Diego","Seattle",1736,"Road",1.7,17092,42.9,0,"Low","Clear",75.5,112,"Automotive","Oversized","No","Yes","No","Off-Peak","No",5.6,246
"247","Charlotte","Sacramento",2642,"Rail",0.57,390,60.4,0,"Low","Rain",81,484,"Furniture","Standard","No","No","No","Off-Peak","No",5.1,247
"248","Philadelphia","Seattle",1257,"Road",0.89,855,41.8,0,"Low","Clear",79.7,600,"Furniture","Oversized","No","No","No",NA,"No",1.5,248
"249","San Antonio","Portland",656,"Road",0.8,6047,8.7,1,"Low","Clear",96,154,"Pharmaceutical","Oversized",NA,"No","No","Off-Peak","No",2.4,249
"250","San Jose","Cleveland",1439,"Air",1.72,6601,65.9,0,"Low","Rain",86.6,307,"Automotive","Oversized","Yes","No","No","Off-Peak","No",-2.7,250
"251","Austin","Denver",1169,"Road",1.76,1588,4.3,1,"Low","Clear",73.7,314,"Furniture","Oversized","No","No","No","Peak","No",3.1,251
"252","New York","Denver",780,NA,1.75,14191,16.3,1,"Low","Clear",80.5,492,"Automotive","Oversized","No","Yes","No","Off-Peak","Yes",2.6,252
"253","Dallas","Detroit",2779,"Road",0.91,601,96.5,0,"Low","Clear",70.6,433,"Electronics","Refrigerated","No","No","No","Off-Peak","No",5.7,253
"254","Fort Worth","Orlando",1425,"Rail",0.53,16499,51.3,1,"Low","Clear",82.3,795,"Pharmaceutical","Oversized","No","No","No","Off-Peak","No",2.2,254
"255","Fort Worth","Boston",91,"Road",1.45,10277,29,1,"Low","Clear",90.4,290,"Furniture","Standard","Yes","Yes","No","Off-Peak","No",2.9,255
"256","Chicago","Orlando",2833,"Road",1.62,15357,1.3,1,"Low","Rain",86.6,667,"Clothing","Oversized","No","Yes","No","Off-Peak","No",8.2,256
"257","San Jose","Cincinnati",1155,"Rail",1.26,18766,33,0,"Medium","Clear",94.8,41,"Food","Fragile","No","No","No","Off-Peak","No",1.5,257
"258","Phoenix","Boston",74,"Road",1.05,10885,88.6,0,"Low","Clear",93.3,976,"Electronics","Refrigerated","Yes","No","No","Off-Peak","No",1,258
"259","Philadelphia","Indianapolis",2943,"Road",0.96,18984,16.9,0,"Low","Clear",90.2,727,"Electronics","Standard","No","Yes","No","Off-Peak","No",7.7,259
"260","Fort Worth","Nashville",1164,"Road",1.04,6407,38.9,2,"Low","Clear",99.3,811,"Automotive","Oversized","Yes","Yes","No","Off-Peak","No",4.6,260
"261","Austin","Cincinnati",2958,"Road",1.04,5807,56.2,2,"Medium","Rain",97.4,788,"Electronics","Fragile","No","Yes","No","Off-Peak","No",8.1,261
"262","Austin",NA,462,"Road",1.31,19371,50,0,"Low","Clear",74.9,489,"Automotive","Refrigerated","No","Yes","No","Off-Peak","No",2.7,262
"263","Dallas","Nashville",1709,"Air",1.48,4934,72.6,0,"Medium","Clear",94.5,239,"Automotive","Refrigerated","No","No","No","Peak","No",1.8,263
"264","Houston","Atlanta",2393,"Road",1.11,16015,81.5,2,NA,"Rain",95.8,17,"Automotive","Fragile","No","No","No","Off-Peak","No",5.9,264
"265","San Jose","Seattle",622,"Road",1.37,5975,41.5,0,"Low","Storm",75.3,672,"Furniture","Oversized","No","Yes","No","Peak","No",4.4,265
"266","San Antonio","Las Vegas",2147,"Road",1.54,13966,23.3,2,"Low","Clear",93.9,474,"Furniture","Standard","No","Yes","No","Off-Peak","No",7.6,266
"267","Dallas","Miami",1719,"Road",1.84,15248,51.1,5,"High","Clear",94.7,382,"Clothing","Standard","No","No","No","Off-Peak","No",4.9,267
"268","San Antonio","Atlanta",80,"Road",1.92,5547,30.9,0,"Medium","Rain",70.1,768,"Clothing","Refrigerated","Yes","No","Yes","Off-Peak","No",3.2,268
"269","San Jose","Boston",808,"Road",1.13,204,83.1,2,"Low","Clear",78.3,390,"Electronics","Oversized","No","No","No","Peak","No",3.2,269
"270","Houston","Nashville",1439,"Road",1.45,8500,27.2,2,"Low","Clear",84.3,388,"Furniture","Refrigerated","No","Yes","No","Peak","No",6.5,270
"271","Fort Worth","Boston",2784,"Road",0.77,11997,50.1,0,"Low","Rain",96,730,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",5.9,271
"272","San Diego","Indianapolis",2986,"Air",0.62,8899,10.6,0,"Low","Clear",91.2,920,"Automotive","Standard","No","No","No","Off-Peak","No",4.1,272
"273","Dallas","Boston",669,"Road",1.35,6917,29.4,1,"Low","Rain",95.2,665,"Automotive","Standard","No","No","No","Off-Peak","No",2.1,273
"274","Dallas","Cincinnati",1658,"Road",1.73,10381,84.6,0,"Low","Clear",98.5,620,"Furniture","Refrigerated","No","No","No","Peak","No",3.6,274
"275","Dallas","Las Vegas",1954,"Road",1.64,4646,48.1,2,"Low","Clear",84.4,287,"Automotive","Oversized","No","No","No","Off-Peak","No",4.8,275
"276","Phoenix","Nashville",2708,"Road",1.36,5859,45.9,0,"Low","Clear",72.4,468,"Pharmaceutical","Oversized","No","No","No","Off-Peak","No",5.5,276
"277","San Antonio","Orlando",2210,"Road",1.98,546,20.8,1,"Medium","Storm",95.7,240,"Automotive","Refrigerated","No","Yes","No","Off-Peak","No",7.3,277
"278","Columbus","Nashville",1849,"Road",1.99,10614,26.7,1,"Low","Clear",82.5,163,"Electronics","Standard","No","No","No","Peak","No",3.6,278
"279","Columbus","Cincinnati",712,"Road",0.98,8427,54.5,0,"Low","Storm",81.8,709,"Clothing","Oversized","No","No","No","Peak","No",3.1,279
"280","Philadelphia","Boston",2753,"Road",0.76,19498,72.8,1,"Low","Clear",70.5,38,"Pharmaceutical","Standard","Yes","No","No","Off-Peak","No",5.7,280
"281","Austin","Indianapolis",2418,"Road",1.06,1086,19.3,2,"High","Clear",95.3,167,"Automotive","Standard","No","No","No","Off-Peak","No",4.2,281
"282","New York","Seattle",972,"Road",1.31,12806,19.4,1,"Low","Clear",90.6,105,"Clothing","Oversized","No","Yes","No","Off-Peak","No",4,282
"283","San Jose","Atlanta",720,"Air",1.72,9928,91.9,1,"Low","Clear",70.3,248,"Pharmaceutical","Standard","No","No","No","Off-Peak","No",1.5,283
"284","San Jose","Atlanta",1990,"Road",1.55,194,14.2,1,"Low","Clear",96.6,889,"Furniture","Fragile","No","No","Yes","Off-Peak","No",7.4,284
"285","New York","Portland",2220,"Air",1.85,3790,1.6,1,"Low","Clear",74.4,918,"Food","Fragile","No","No","No","Peak","Yes",2.7,285
"286","San Jose","Seattle",1422,"Road",1.58,12722,28,0,"High","Clear",86.2,821,"Pharmaceutical","Oversized","No","No","No","Off-Peak","No",1.7,286
"287","New York","Detroit",2598,"Road",0.88,10418,65.9,0,"Low","Clear",86.8,568,"Electronics","Oversized","No","No","No","Off-Peak","No",5.6,287
"288","Fort Worth","Portland",2041,"Road",0.96,17844,51.3,1,"Medium","Rain",92.8,748,"Pharmaceutical","Standard","No","Yes","No","Peak","No",6.8,288
"289","San Jose","Portland",526,"Road",1.62,13584,32,0,"Low","Clear",79.1,335,"Automotive","Fragile","No","No","No","Off-Peak","No",1,289
"290","Austin","Detroit",86,"Air",0.81,10324,20,0,"Medium","Snow",75.4,252,"Electronics","Standard","No","No","No","Off-Peak","No",1,290
"291","Phoenix","Atlanta",2605,"Air",0.93,6214,97.7,0,NA,"Clear",70.1,128,"Pharmaceutical","Fragile","Yes","No","No","Off-Peak","No",2.2,291
"292","San Antonio","Seattle",347,"Road",1.85,8008,74.7,0,"Medium","Clear",95.9,652,"Food","Standard","No","Yes","No","Peak","No",2.5,292
"293","Jacksonville","Boston",971,"Rail",NA,3151,41.3,0,"Low","Clear",76.1,766,"Electronics","Standard","No","Yes","No","Off-Peak","No",4.1,293
"294","Phoenix","Orlando",1332,"Road",0.72,7658,11.4,1,"Low","Rain",84.5,336,"Automotive","Oversized","No","No","No","Off-Peak","No",4.1,294
"295","San Jose","Boston",1866,"Air",1.6,5480,68.8,0,"Medium","Clear",98.4,297,"Pharmaceutical","Fragile","No","No","No","Peak","No",2.4,295
"296","Dallas","Indianapolis",1051,"Road",1.31,18911,60.7,1,"Low","Clear",87.3,916,"Electronics","Standard","No","No","No","Off-Peak","No",1.9,296
"297","Houston","Indianapolis",1761,"Road",1.31,5120,65.4,0,"Medium","Clear",73.4,543,"Electronics","Fragile","No","No","No","Peak","No",3.5,297
"298","Philadelphia","Boston",2498,"Road",1.55,14741,75.6,1,"Low","Rain",85.8,864,"Electronics","Refrigerated","No","No","No","Peak","No",6.6,298
"299","Los Angeles","Atlanta",1037,"Air",1.48,1447,60.2,3,"Low","Clear",87,884,"Automotive","Fragile","No","No","Yes","Off-Peak","No",5.8,299
"300","Columbus","Kansas City",1177,"Road",1.64,7479,9.9,2,"Low","Clear",90.4,424,"Automotive","Standard","Yes","Yes","No","Peak","No",4.4,300
"301","Charlotte","Portland",1837,"Road",0.92,4429,70.1,1,"Medium","Clear",79.3,419,"Food","Standard","No","No","No","Peak","Yes",3.5,301
"302","Fort Worth","Detroit",1512,"Road",1.98,17592,3,3,"Low","Clear",90.5,103,"Food","Refrigerated","No","Yes","No","Peak","No",6.6,302
"303","New York","Nashville",372,"Rail",1.95,8524,97.7,3,"Medium","Clear",85.2,850,"Clothing","Fragile","No","No","No","Peak","No",1.4,303
"304","Phoenix","Cleveland",2545,"Road",0.54,6489,95.2,1,"Medium","Clear",93.9,999,"Clothing","Oversized","Yes","No","No","Off-Peak","No",6.1,304
"305","Dallas","Denver",1365,"Road",1.62,8311,82.5,1,"Medium","Clear",82.9,135,"Furniture","Fragile","No","No","No","Peak","No",2.8,305
"306","Houston","Boston",2264,"Rail",1.05,3212,25.7,2,"Low","Rain",93.8,636,"Electronics","Fragile","No","No","No","Off-Peak","No",4.7,306
"307","Chicago","Portland",2397,"Road",1.03,12620,58.2,NA,"Low","Clear",83.4,49,"Food","Fragile","No","Yes","No","Peak","No",6.8,307
"308","Dallas","Nashville",1203,"Road",0.53,15411,35,1,"Low","Clear",98.2,699,"Furniture","Fragile","No","Yes","No","Off-Peak","No",4,308
"309","Columbus","Kansas City",94,NA,1.64,18046,96.4,1,"Low","Clear",83.5,632,"Clothing","Refrigerated","No","No","No","Off-Peak","No",1,309
"310","New York","Detroit",2243,"Road",0.74,12242,85.3,2,"Low","Clear",93,368,"Automotive","Oversized","No","No","No","Peak","No",5.6,310
"311","Los Angeles","Miami",252,"Road",0.67,12651,72.3,0,"Low","Clear",70.4,884,"Furniture","Oversized","Yes","No","No","Off-Peak","No",1,311
"312","Houston","Portland",1619,"Road",1.57,13275,79.3,1,"Low","Rain",84.7,747,"Automotive","Fragile","No","No","No","Off-Peak","No",4.1,312
"313","San Jose","Orlando",412,"Air",1.17,18607,74.5,0,"Low","Clear",85,306,"Food","Oversized","Yes","No","No","Peak","No",1,313
"314","New York","Kansas City",2044,"Air",0.54,19846,33.2,2,"Medium","Clear",70.8,697,"Furniture","Fragile","No","No","No","Peak","No",2.4,314
"315","Phoenix","Boston",215,"Road",1.88,5244,89.5,1,"High","Clear",86.5,405,"Electronics","Fragile","No","No","No","Off-Peak","No",NA,315
"316","Phoenix","Cleveland",2404,"Road",1.68,5888,6.5,1,"Low","Clear",86.2,748,"Food","Fragile","Yes","Yes","No","Off-Peak","No",6.6,316
"317","Dallas","Las Vegas",2005,"Road",NA,18241,56.8,0,"Low","Clear",89.8,825,"Electronics","Standard","Yes","No","Yes","Peak","No",8.3,317
"318","San Diego","Kansas City",771,"Rail",0.69,7529,32.5,3,"Low","Clear",71.9,576,"Automotive","Standard","No","No","No","Off-Peak","No",3,318
"319","San Antonio","Indianapolis",523,"Road",1.73,14499,76.8,1,"Medium","Clear",97.4,331,"Food","Oversized","No","No","No","Off-Peak","No",2.2,319
"320","Dallas","Denver",221,"Road",1.58,16815,62.6,0,"High","Snow",95.7,155,"Pharmaceutical","Standard","Yes","Yes","No","Off-Peak","No",2.2,320
"321","Phoenix","Nashville",95,"Road",1.12,2422,39.8,0,"Medium","Clear",85.4,140,"Clothing","Standard","Yes","Yes","No","Peak","No",1.8,321
"322","Fort Worth","Orlando",2508,"Road",0.76,16906,86.6,1,"High","Clear",74.3,30,"Pharmaceutical","Fragile","No","Yes","No","Off-Peak","No",5.6,322
"323","Los Angeles","Kansas City",823,"Road",0.52,13159,55.4,1,"Low","Clear",88.2,212,"Electronics","Refrigerated","No","No","No","Off-Peak","No",2.3,323
"324","San Jose","Atlanta",213,"Road",1.01,285,85.5,0,"Low","Clear",79.2,699,"Automotive","Fragile","Yes","No","No","Off-Peak","No",1.1,324
"325","Charlotte","Orlando",1077,"Road",0.78,2248,52.1,2,"Low","Clear",72.3,437,"Furniture","Standard","No","No","No","Off-Peak","No",3.4,325
"326","Philadelphia","Orlando",1762,"Road",1.34,8601,65.3,5,"Low","Clear",94.9,139,"Furniture","Oversized","No","No","No","Off-Peak","No",6,326
"327","San Antonio","Atlanta",2422,"Road",1.38,16582,26.9,0,"Low","Rain",86.2,70,"Furniture","Standard","Yes","Yes","No","Off-Peak","No",6.6,327
"328","Fort Worth","Las Vegas",1054,"Road",0.92,6772,29.6,3,"Medium","Clear",75.1,866,"Clothing","Standard","No","No","No","Off-Peak","No",3.1,328
"329","Dallas","Las Vegas",448,"Road",1.89,5964,97.9,1,"Low","Storm",71.8,793,"Clothing","Refrigerated","No","No","No","Off-Peak","No",3.2,329
"330","New York","Indianapolis",2332,"Road",1.56,18145,99.3,3,"Medium","Storm",91.5,207,"Pharmaceutical","Fragile","No","No","Yes","Peak","No",9.3,330
"331","Phoenix","Sacramento",2638,"Road",0.91,8193,29.5,0,"Low","Clear",99.3,720,"Automotive","Standard","No","No","No","Off-Peak",NA,5.2,331
"332","Fort Worth","Nashville",2965,"Road",1.57,11396,60.9,1,"Medium","Clear",73.3,68,"Food","Fragile","No","Yes","No","Off-Peak","No",7.6,332
"333","Jacksonville","Las Vegas",1982,"Road",1.41,5043,36.7,1,"High","Clear",80.8,802,"Electronics","Oversized","Yes","Yes","No","Peak","No",5.5,333
"334","Charlotte","Detroit",NA,"Road",1.11,2772,98.9,2,"Low","Rain",72.4,495,"Pharmaceutical","Fragile","No","Yes","No","Peak","Yes",5.2,334
"335","Phoenix","Indianapolis",1942,"Road",0.75,4021,90.8,1,"Low","Snow",89.1,940,"Pharmaceutical","Oversized","No","No","No","Peak","No",5.1,335
"336","San Diego","Indianapolis",1379,"Road",0.54,10649,52.3,4,"Low","Rain",92.7,725,"Electronics","Oversized","No","No","No","Off-Peak","No",4.5,336
"337","Phoenix","Kansas City",631,"Air",0.73,19117,49.7,1,"Low","Clear",90.1,840,"Food","Refrigerated","No","Yes","No","Off-Peak","Yes",3.9,337
"338","Charlotte","Indianapolis",1838,"Road",1.38,8457,39.5,0,"Medium","Rain",90.9,799,"Clothing","Standard","No","No","No","Peak","No",4,338
"339","San Antonio","Denver",2925,"Road",0.83,16803,88,1,"Low","Clear",72.9,927,"Automotive","Oversized","No","Yes","No","Off-Peak","No",9.3,339
"340","Houston","Nashville",638,"Road",NA,1686,92.3,1,"Low","Storm",86,662,"Furniture","Refrigerated","No","No","No","Off-Peak","No",3.4,340
"341","Los Angeles","Detroit",1333,"Road",1.87,15030,27.9,0,"Medium","Rain",90.4,369,"Food","Refrigerated","No","Yes","No","Peak","No",4.1,341
"342","Fort Worth","Kansas City",1052,"Air",1.81,5395,84.9,2,"Low","Clear",75.7,564,"Clothing","Oversized","No","No","No","Peak","No",2.9,342
"343","New York","Nashville",150,"Rail",1.74,10634,50,1,"Low","Clear",74.2,878,"Furniture","Refrigerated","No","No","No","Off-Peak","No",1,343
"344","New York","Portland",343,"Road",1.41,997,63,2,"Low","Rain",89.1,442,"Automotive","Refrigerated","No","No","No","Off-Peak","No",1.8,344
